ticker,entry_date,entry_price,sl_price,tp_price,exit_date,exit_price,target_pct,sl_pct,outcome,pnl_pct
STAR,2022-11-24,318.73,310.3,357.0,2022-12-05,357.0,12.01,2.64,WIN,12.01
STAR,2024-11-13,1367.89,1352.19,1589.0,2024-11-18,1352.19,16.16,1.15,LOSS,-1.15
STAR,2025-02-14,626.2,610.34,760.95,2025-02-17,610.34,21.52,2.53,LOSS,-2.53
STAR,2025-04-04,609.56,585.1,737.7,2025-04-07,585.1,21.02,4.01,LOSS,-4.01
STAR,2025-09-26,815.85,792.05,906.85,2025-10-14,792.05,11.15,2.92,LOSS,-2.92
STAR,2026-05-19,1069.58,1026.0,1231.0,2026-06-04,1026.0,15.09,4.07,LOSS,-4.07
PARKHOTELS,2025-05-28,154.05,151.47,170.17,2025-05-30,151.47,10.46,1.67,LOSS,-1.67
PARKHOTELS,2026-02-26,122.89,119.12,136.35,2026-03-02,119.12,10.95,3.07,LOSS,-3.07
PFC,2021-03-24,117.52,115.93,132.2,2021-03-25,115.93,12.49,1.36,LOSS,-1.36
PFC,2023-01-27,139.5,136.2,161.8,2023-01-30,136.2,15.99,2.37,LOSS,-2.37
PFC,2023-03-27,146.62,142.15,170.6,2023-05-02,170.6,16.35,3.05,WIN,16.35
PFC,2024-02-22,400.8,392.53,453.7,2024-02-28,392.53,13.2,2.06,LOSS,-2.06
PFC,2024-05-10,413.12,405.1,485.5,2024-05-13,405.1,17.52,1.94,LOSS,-1.94
PFC,2024-08-06,490.35,479.75,573.8,2024-08-07,479.75,17.02,2.16,LOSS,-2.16
PFC,2025-05-06,401.85,389.0,444.1,2025-05-08,389.0,10.51,3.2,LOSS,-3.2
PFC,2026-06-03,409.1,398.85,467.0,2026-08-10,398.85,14.15,2.51,LOSS,-2.51
GVPTECH,2024-08-06,13.13,12.87,15.0,2024-08-07,12.87,14.2,2.02,LOSS,-2.02
GVPTECH,2025-05-09,9.05,8.61,10.99,2025-06-27,10.99,21.44,4.83,WIN,21.44
GVPTECH,2025-07-02,9.99,9.84,12.0,2025-07-30,9.84,20.09,1.53,LOSS,-1.53
GVPTECH,2025-12-23,9.44,9.22,11.19,2025-12-24,9.22,18.51,2.39,LOSS,-2.39
GVPTECH,2026-07-08,6.7,6.58,7.89,2026-07-14,6.58,17.76,1.74,LOSS,-1.74
INDUSINDBK,2025-03-03,953.02,931.95,1086.55,2025-03-10,931.95,14.01,2.21,LOSS,-2.21
TNTELE,2022-05-24,8.35,8.17,9.95,2022-05-25,8.17,19.16,2.19,LOSS,-2.19
TNTELE,2022-09-14,8.84,8.45,9.8,2022-09-16,8.45,10.89,4.38,LOSS,-4.38
TNTELE,2023-02-08,7.25,7.13,8.1,2023-02-09,7.13,11.72,1.68,LOSS,-1.68
TNTELE,2023-04-17,6.04,5.94,6.8,2023-04-19,5.94,12.63,1.61,LOSS,-1.61
